id,type,name
1001,JR,JR北海道
1002,JR,JR東日本
1003,JR,JR東海
1004,JR,JR西日本
1005,JR,JR四国
1006,JR,JR九州
2001,大手私鉄,東武鉄道
2002,大手私鉄,西武鉄道
2003,大手私鉄,京成電鉄
2004,大手私鉄,京王電鉄
2005,大手私鉄,小田急電鉄
2006,大手私鉄,東京急行電鉄
2007,大手私鉄,京浜急行電鉄
2008,大手私鉄,東京メトロ
2009,大手私鉄,相模鉄道
2010,大手私鉄,名古屋鉄道
2011,大手私鉄,近畿日本鉄道
2012,大手私鉄,南海電気鉄道
2013,大手私鉄,京阪電気鉄道
2014,大手私鉄,阪急電鉄
2015,大手私鉄,阪神電気鉄道
2016,大手私鉄,西日本鉄道
2501,準大手私鉄,新京成電鉄
2502,準大手私鉄,北大阪急行電鉄
2503,準大手私鉄,大阪府都市開発
2504,準大手私鉄,神戸電鉄
2505,準大手私鉄,山陽電気鉄道
3001,その他私鉄,北海道ちほく高原鉄道
3002,その他私鉄,津軽鉄道
3003,その他私鉄,弘南鉄道
3004,その他私鉄,十和田観光電鉄
3005,その他私鉄,IGRいわて銀河鉄道
3006,その他私鉄,青い森鉄道
3007,その他私鉄,三陸鉄道
3008,その他私鉄,秋田内陸縦貫鉄道
3009,その他私鉄,由利高原鉄道
3010,その他私鉄,山形鉄道
3011,その他私鉄,くりはら田園鉄道
3012,その他私鉄,阿武隈急行
3013,その他私鉄,福島交通
3014,その他私鉄,会津鉄道
3015,その他私鉄,仙台空港鉄道
3016,その他私鉄,秩父鉄道
3017,その他私鉄,埼玉高速鉄道
3018,その他私鉄,いすみ鉄道
3019,その他私鉄,首都圏新都市鉄道
3020,その他私鉄,横浜高速鉄道
3021,その他私鉄,横浜新都市交通
3022,その他私鉄,ゆりかもめ
3023,その他私鉄,わたらせ渓谷鐵道
3024,その他私鉄,山万
3025,その他私鉄,ひたちなか海浜鉄道
3026,その他私鉄,関東鉄道
3027,その他私鉄,江ノ島電鉄
3028,その他私鉄,埼玉新都市交通
3029,その他私鉄,鹿島鉄道
3030,その他私鉄,鹿島臨海鉄道
3031,その他私鉄,芝山鉄道
3032,その他私鉄,小湊鐵道
3033,その他私鉄,湘南モノレール
3034,その他私鉄,上信電鉄
3035,その他私鉄,上毛電気鉄道
3036,その他私鉄,真岡鐵道
3037,その他私鉄,千葉都市モノレール
3038,その他私鉄,流鉄
3039,その他私鉄,多摩都市モノレール
3040,その他私鉄,銚子電気鉄道
3041,その他私鉄,東京モノレール
3042,その他私鉄,東京臨海高速鉄道
3043,その他私鉄,東葉高速鉄道
3044,その他私鉄,箱根登山鉄道
3045,その他私鉄,北総鉄道
3046,その他私鉄,野岩鉄道
3047,その他私鉄,富士急行
3048,その他私鉄,北越急行
3049,その他私鉄,しなの鉄道
3050,その他私鉄,上田交通
3051,その他私鉄,長野電鉄
3052,その他私鉄,アルピコ交通(松本電気鉄道)
3053,その他私鉄,神岡鉄道
3054,その他私鉄,黒部峡谷鉄道
3055,その他私鉄,富山地方鉄道
3056,その他私鉄,万葉線
3057,その他私鉄,富山ライトレール
3058,その他私鉄,北陸鉄道
3059,その他私鉄,のと鉄道
3060,その他私鉄,えちぜん鉄道
3061,その他私鉄,福井鉄道
3062,その他私鉄,伊豆急行
3063,その他私鉄,伊豆箱根鉄道
3064,その他私鉄,岳南鉄道
3065,その他私鉄,静岡鉄道
3066,その他私鉄,天竜浜名湖鉄道
3067,その他私鉄,遠州鉄道
3068,その他私鉄,大井川鐵道
3069,その他私鉄,名古屋臨海高速鉄道
3070,その他私鉄,東海交通事業
3071,その他私鉄,愛知環状鉄道
3072,その他私鉄,愛知高速交通
3073,その他私鉄,桃花台新交通
3074,その他私鉄,豊橋鉄道
3075,その他私鉄,名古屋ガイドウェイバス
3076,その他私鉄,明知鉄道
3077,その他私鉄,長良川鉄道
3078,その他私鉄,樽見鉄道
3079,その他私鉄,三岐鉄道
3080,その他私鉄,伊勢鉄道
3081,その他私鉄,伊賀鉄道
3082,その他私鉄,養老鉄道
3083,その他私鉄,近江鉄道
3084,その他私鉄,信楽高原鐵道
3085,その他私鉄,嵯峨野観光鉄道
3086,その他私鉄,叡山電鉄
3087,その他私鉄,北近畿タンゴ鉄道
3088,その他私鉄,京福電気鉄道
3089,その他私鉄,能勢電鉄
3090,その他私鉄,水間鉄道
3091,その他私鉄,大阪高速鉄道
3092,その他私鉄,阪堺電気軌道
3093,その他私鉄,神戸高速鉄道
3094,その他私鉄,北神急行電鉄
3095,その他私鉄,三木鉄道
3096,その他私鉄,北条鉄道
3097,その他私鉄,智頭急行
3098,その他私鉄,神戸新交通
3099,その他私鉄,紀州鉄道
3100,その他私鉄,和歌山電鐵
3101,その他私鉄,若桜鉄道
3102,その他私鉄,一畑電車
3103,その他私鉄,水島臨海鉄道
3104,その他私鉄,井原鉄道
3105,その他私鉄,岡山電気軌道
3106,その他私鉄,スカイレールサービス
3107,その他私鉄,広島高速交通
3108,その他私鉄,広島電鉄
3109,その他私鉄,錦川鉄道
3110,その他私鉄,阿佐海岸鉄道
3111,その他私鉄,高松琴平電気鉄道
3112,その他私鉄,伊予鉄道
3113,その他私鉄,土佐くろしお鉄道
3114,その他私鉄,土佐電気鉄道
3115,その他私鉄,甘木鉄道
3116,その他私鉄,平成筑豊鉄道
3117,その他私鉄,北九州高速鉄道
3118,その他私鉄,筑豊電気鉄道
3119,その他私鉄,松浦鉄道
3120,その他私鉄,島原鉄道
3121,その他私鉄,長崎電気軌道
3122,その他私鉄,熊本電気鉄道
3123,その他私鉄,南阿蘇鉄道
3124,その他私鉄,くま川鉄道
3125,その他私鉄,肥薩おれんじ鉄道
3126,その他私鉄,沖縄都市モノレール
7001,公営,札幌市交通局
7002,公営,函館市企業局交通部
7003,公営,仙台市交通局
7004,公営,東京都交通局
7005,公営,横浜市交通局
7006,公営,名古屋市交通局
7007,公営,京都市交通局
7008,公営,大阪市交通局
7009,公営,神戸市交通局
7010,公営,福岡市交通局
7011,公営,熊本市交通局
7012,公営,鹿児島市交通局
