line_cd,line_sort,rr_name,line_type,enabled,last_date,line_name,line_nickname
11101,11101,2,1,,JR北海道,函館本線(函館〜長万部),
11102,11102,2,1,,JR北海道,函館本線(長万部〜小樽),
11103,11103,2,1,,JR北海道,函館本線(小樽〜旭川),
11104,11104,2,1,,JR北海道,室蘭本線(長万部〜苫小牧),
11105,11105,2,1,,JR北海道,室蘭本線(苫小牧〜岩見沢),
11106,11106,2,1,,JR北海道,根室本線(滝川〜新得),
11107,11107,2,1,,JR北海道,根室本線(新得〜釧路),
11108,11108,2,1,,JR北海道,根室本線(釧路〜根室),花咲線
11109,11109,2,1,,JR北海道,千歳線,
11110,11110,2,1,,JR北海道,石勝線,
11111,11111,2,1,,JR北海道,日高本線,
11112,11112,2,1,,JR北海道,札沼線,
11113,11113,2,1,,JR北海道,留萌本線,
11114,11114,2,1,,JR北海道,富良野線,
11115,11115,2,1,,JR北海道,宗谷本線,
11116,11116,2,1,,JR北海道,石北本線,
11117,11117,2,1,,JR北海道,釧網本線,
11118,11118,2,1,,JR北海道,海峡線,
11119,11119,2,1,,JR北海道,江差線,
11182,11101,2,1,,JR北海道,函館本線(砂原線),
11184,11104,2,1,,JR北海道,室蘭本線(室蘭支線),
11189,11109,2,1,,JR北海道,千歳線(新千歳空港支線),
11190,11110,2,1,,JR北海道,石勝線(夕張支線),
11201,11201,2,1,,JR東日本,東北本線(八戸〜青森),
11202,11202,2,1,,JR東日本,奥羽本線(新庄〜青森),
11203,11203,2,1,,JR東日本,大湊線,はまなすベイライン大湊線
11204,11204,2,1,,JR東日本,五能線,
11205,11205,2,1,,JR東日本,津軽線,
11206,11206,2,1,,JR東日本,八戸線,
11207,11207,2,1,,JR東日本,岩泉線,
11208,11208,2,1,,JR東日本,大船渡線,ドラゴンレール大船渡線
11209,11209,2,1,,JR東日本,釜石線,銀河ドリームライン釜石線
11210,11210,2,1,,JR東日本,北上線,
11211,11211,2,1,,JR東日本,田沢湖線,
11212,11212,2,1,,JR東日本,花輪線,十和田八幡平四季彩ライン
11213,11213,2,1,,JR東日本,山田線,
11214,11214,2,1,,JR東日本,羽越本線,
11215,11215,2,1,,JR東日本,男鹿線,
11216,11216,2,1,,JR東日本,奥羽本線(福島〜新庄),山形線
11217,11217,2,1,,JR東日本,仙山線,
11218,11218,2,1,,JR東日本,左沢線,フルーツライン左沢線
11219,11219,2,1,,JR東日本,米坂線,
11220,11220,2,1,,JR東日本,陸羽西線,奥の細道最上川ライン
11221,11221,2,1,,JR東日本,陸羽東線,奥の細道湯けむりライン
11222,11222,2,1,,JR東日本,仙石線,
11223,11223,2,1,,JR東日本,石巻線,
11224,11224,2,1,,JR東日本,気仙沼線,
11225,11225,2,1,,JR東日本,磐越西線(郡山〜会津若松),
11226,11226,2,1,,JR東日本,磐越西線(会津若松〜新津),森と水とロマンの鉄道
11227,11227,2,1,,JR東日本,只見線,
11228,11228,2,1,,JR東日本,磐越東線,ゆうゆうあぶくまライン
11229,11229,2,1,,JR東日本,常磐線(取手〜いわき),
11230,11230,2,1,,JR東日本,常磐線(いわき〜仙台),
11231,11202,2,1,,JR東日本,東北本線(黒磯〜盛岡),
11271,11202,2,1,,JR東日本,東北本線(利府支線),
11301,11301,2,1,,JR東日本,東海道本線(東京〜熱海),
11302,11302,2,1,,JR東日本,山手線,
11303,11303,2,1,,JR東日本,南武線,
11304,11304,2,1,,JR東日本,鶴見線,
11305,11305,2,1,,JR東日本,武蔵野線,
11306,11306,2,1,,JR東日本,横浜線,
11307,11307,2,1,,JR東日本,根岸線,
11308,11308,2,1,,JR東日本,横須賀線,
11309,11309,2,1,,JR東日本,相模線,
11311,11311,2,1,,JR東日本,中央本線(東京〜塩尻),
11312,11312,2,1,,JR東日本,中央線(快速),
11313,11313,2,1,,JR東日本,中央・総武線,
11314,11314,2,1,,JR東日本,総武本線,
11315,11315,2,1,,JR東日本,青梅線,
11316,11316,2,1,,JR東日本,五日市線,
11317,11317,2,1,,JR東日本,八高線(八王子〜高麗川),
11318,11318,2,1,,JR東日本,八高線(高麗川〜高崎),
11319,11319,2,1,,JR東日本,東北本線(宇都宮線),
11320,11320,2,1,,JR東日本,常磐線(上野〜取手),
11321,11321,2,1,,JR東日本,埼京線,
11322,11322,2,1,,JR東日本,川越線,
11323,11323,2,1,,JR東日本,高崎線,
11324,11324,2,1,,JR東日本,外房線,
11325,11325,2,1,,JR東日本,内房線,
11326,11326,2,1,,JR東日本,京葉線,
11327,11327,2,1,,JR東日本,成田線,
11329,11329,2,1,,JR東日本,鹿島線,
